Paige           ???
Egyptians       埃及人
Greeks          希腊人
flat            平坦的
seems           似乎
Greek           希腊语
Latin           拉丁
science         科学
though          尽管
Marco           马可
Polo            马球
Columbus        哥伦布
Christopher     克里斯托弗
laughed         笑了
sandglass       沙漏
Indians         印第安人
Spain           西班牙
knowing         会心
continent       大陆
peoples         人们
Aztecs          阿兹特克人
Incas           印加人
Peru            秘鲁
Americas        美洲
Alaska          阿拉斯加州
Magellan        麦哲伦
sailor          水手
Portugal        葡萄牙
Cape            岬
Philippine      菲律宾语
Islands         岛屿
proved          证实
might           可能
Copernicus      哥白尼
pollen          花粉
sense           感觉
writings        著作
Shakespeare     莎士比亚
NIR             近红外
spots           斑点
planet          行星
Jupiter         木星
universe        宇宙
anymore         不再
prison          监狱
Ptolemy         托勒密
Newton          牛顿
recorder        录音机
comparing       比较
laws            法律
shoulders       肩膀
Kepler          开普勒
gravitation     引力
attraction      景点
Newtons         牛顿
Einstein        爱因斯坦
clearer         更清晰
truer           更真实
microscopes     显微镜
structure       结构
human           人类
snakes          蛇
unless          除非
rest            休息
pinpoint        查明
housekeeping    家政
divide          划分
division        分配
separate        分离
divided         分为
surface         表面
thick           厚的
rounded         圆形的
celled          细胞的
organisms       有机体
earliest        最早的
billions        数十亿
overheated      过热
bit             少量
jelly           果冻
thin            薄的
openings        开口
nucleus         核
organizes       组织
developments    事态发展
complex         复杂的
simpler         更简单
stem            干
dependent       依赖的
holding         保持
depends         依靠
timing          定时
cubic           立方体
millimeter      毫米
thousandth      千分之一
meter           仪表
centimeter      厘米
cube            立方体
squares         正方形
scissors        剪刀
outer           外
faults          故障
edges           边缘
centimetre      厘米
centimeters     厘米
thickest        最厚的
point           观点
organism        生物
fifth           第五
divisions       部门
outcome         结果
halves          一半
separated       分开
chemistry       化学
hydrogen        氢
represented     代表
chemists        化学家
formula         公式
formulas        公式
material        材料
proteins        蛋白质
structures      结构
chemist         化学家
compare         比较
protein         蛋白质
nitrogen        氮
sulphur         硫
nails           指甲
digestion       消化
controlling     控制
surprisingly    出奇
within          之内
experience      经验
experiment      实验
bean            豆
daylight        日光
Joseph          约瑟夫
Priestley       普里斯特利
discoverer      发现者
neither         两者都不
nor             也不
Dutch           荷兰语
straight        直的
carbohydrates   碳水化合物
carbohydrate    糖类
photosynthesis  光合作用
depend          依靠
either          任何一个
Mayer           迈尔
experimenting   实验
certainly       当然
scientific      科学的
industry        行业
microscopic     微观的
oceans          海洋
complexes       复合物
oil             油
taste           品尝
soil            土壤
fix             使固定
plans           计划
fallen          堕落
forms           形式
cotton          棉布
sheets          床单
watched         看过
wool            羊毛
blankets        毯子
equally         一样
self-supporting 自养的
candles         蜡烛
plows           犁
carts           推车
whom            谁
clearing        清算
upkeep          保养
streets         街道
services        服务
whatever        任何
plays           戏剧
interest        兴趣
interested      感兴趣的
philosopher     哲学家
Plato           柏拉图
rightly         正确地
children's      孩子们的
dating          约会
pitch           沥青
drawing         绘画
drawings        图纸
copied          复制的
BC              公元前
easier          更轻松
drawn           画
painting        绘画
sculpture       雕塑
pieces          件
still           仍然
banan           巴南
happily         高兴地
copies          副本
galleries       画廊
museums         博物馆
paintings       绘画
artists         艺术家
theaters        剧院
acted           采取行动
poetry          诗歌
hours           小时
alone           独自的
nations         国家
British         英国人
Russians        俄罗斯人
Germans         德国人
directions      方向
bridges         桥梁
means           方法
tired           疲劳的
religion        宗教
tried           尝试过
wanted          通缉
seconds         秒
wider           更宽的
stranger        陌生人
philosophers    哲学家
least           至少
mountainsides   山腰
owner           所有者
owned           拥有的
smooth          光滑的
caves           洞穴
cave            洞穴
Lambs           羔羊
lamb            羊肉
stick           戳
equalled        等于
recorded        记录的
tallies         计数
side-by-side    并排
tallied         统计过的
tally           相符
tell            告诉
counted         数过的
teller          出纳员
Shelford        谢尔福德
counter         柜台
tellers         出纳员
certain         肯定
invented        发明了
willing         愿意的
trade           贸易
counters        柜台
frame           算盘
balls           球
threaded        螺纹式
wire            金属丝
subtract        减去
multiply        乘
seas            海域
compass         罗盘
Arabs           阿拉伯人
Italians        意大利人
geometry        几何学
fields          领域
bits            位
errata          勘误表
Singh's         辛格的
circles         界
circle          圆圈
facts           事实
roller          滚筒
triangles       三角形
squared         平方
staff           职员
lengths         地区
volumes         卷
shape           形状
field           场地
filled          填充
rectangles      矩形
right-angled    直角
Pythagoras      毕达哥拉斯
multiplied      乘以
compared        比较的
farming         农业
buckets         水桶
workhorses      主力
often           经常
finding         发现
Springs         斯普林斯
wells           井
cord            绳索
bucket          桶
well-known      知名
Remus           莱姆斯
stories         故事
Brer            布雷尔
Rabbit          兔子
along           沿着
landing         降落
inventions      发明
crushing        压碎
Miller          磨坊主
engines         引擎
windmill        风车
pushes          推动
sails           帆
mill            磨
lifts           电梯
cares           关心
fears           恐惧
climate         气候
thermostat      恒温器
pointer         指针
purpose         目的
heated          加热的
metal           金属
warn            警告
climates        气候
cool            凉爽的
indoors         在室内
surprising      奇怪
chests          箱子
bell            钟
ringing         铃声
loudly          高声
touched         感动
hoping          希望
break           休息
Watchers        观察者
watchman        守望者
studio          工作室
danger          危险
against         反对
prints          印刷
insurance       保险
damage          损害
responsible     负责任的
fully           完全
meld            融合
temperatures    温度
placed          放置
melt            熔化
outlets         网点
ceiling         天花板
assembly        集会
cheaply         便宜地
automobile      汽车
overall         全面的
thinkers        思想家
serving         服务
waiters         服务员
waitresses      女服务员
waitress        女服务员
fewer           更少
servants        仆人
self-serving    自私的
wasted          浪费了
automat         自动机
emptied         清空
cigarettes      香烟
stamps          邮票
cart            大车
sold            卖
photographed    拍到的
accounting      会计
quickest        最快的
James           詹姆士
Watt            瓦
governor        州长
boiler          锅炉
shutoff         关闭
governs         管辖
group           团体
govern          治理
judges          法官
consciously     有意识地
governed        管辖的
develops        发展
increases       增加
should          应该
oneself         自己
unimportant     不重要
judge           法官
degree          程度
Direction       方向
self-control    自我控制
feedback        反馈
feeds           饲料
probable        可能
lifetime        寿命
poem            诗
astronomers     天文学家
telescopes      望远镜
trillion        兆
curving         弯曲的
comparison      比较
anticipate      预料
forming         成型
physical        身体的
melts           融化
chemical        化学
clouded         阴云密布
wax             蜡
exchanges       交流
melting         融化
springs         斯普林斯
rays            射线
lens            镜片
retina          视网膜
photographing   拍照
upside-down     倒挂
film            电影
films           电影
caused          造成的
nerves          神经
outgrowth       产物
impulses        冲动
stow            存放
one's           那些
nerve           神经
planets         行星
Mars            火星
beings          众生
Martian         火星人
speech          演讲
probably        大概
upward          向上
Greece          希腊
Iliad           伊利亚特
Socrates        苏格拉底
Amos            阿莫斯
Hosea           何西阿
Isaiah          以赛亚
Gotama          乔达摩
Buddha          佛
bhagavad-gita   博伽梵歌
Confucius       孔子
mensches        门斯赫斯
wrath           愤怒
Achilles        阿喀琉斯
Republic        共和国
Bible           圣经
basic           基本的
scenes          场景
chung-yong      中庸
directs         指挥
Barada          巴拉达
ronica          罗尼卡
Ishod           伊绍德
yacht           游艇
sanaka          萨纳卡
seer            先知
hearer          听者
thinker         思想家
knower          知者
apology         道歉
Athens          雅典
property        财产
Athenians       雅典人
chiefly         主要
poems           诗
poet            诗人
teachings       教义
Hebrews         希伯来书
Jesus           耶稣
organs          器官
interdependent  相互依存
reflection      反射
reflect         反映
till            直到
mirrored        镜像的
stomach         胃
nervous         紧张的
organization    组织
directing       指挥
wording         措辞
anywhere        任何地方
damaging        破坏性的
Aristotle       亚里士多德
curved          弯曲
feed-forward    前馈
widely          广泛
supported       支持的
direct          直接的
fed             美联储
general         一般的
paragraph       段落
chapter         章节
purposes        目的
rough           粗糙的
Blake           布莱克
Comenius        夸美纽斯
beginners       初学者
Harvard         哈佛
cominius        科米尼乌斯
Orbis           奥比斯
pictus          斑马鱼
desire          欲望
desired         想要的
desiring        渴望
attempts        尝试
